Date,Products,ISP,Production,Lifting,Sales_Gas,Production_Gas
2022-05-01,LPG,Excl. ISP,1185,1261,541,124
2022-05-02,LPG,Incl. ISP,1024,1411,173,138
2022-05-03,NGL,Excl. ISP,1270,1364,347,120
2022-05-04,LPG,Excl. ISP,1419,1449,358,133
2022-05-05,LPG,Excl. ISP,1423,953,286,150
2022-05-06,NGL,Incl. ISP,1202,1479,407,137
2022-05-07,LPG,Excl. ISP,1161,1257,235,114
2022-05-08,LPG,Incl. ISP,1170,1259,309,93
2022-05-09,NGL,Incl. ISP,957,1141,266,116
2022-05-10,NGL,Incl. ISP,1016,1315,412,135
2022-05-11,NGL,Incl. ISP,908,1383,136,140
2022-05-12,LPG,Excl. ISP,1033,1338,189,145
2022-05-13,NGL,Incl. ISP,963,1238,390,111
2022-05-14,LPG,Incl. ISP,1385,1126,389,91
2022-05-15,NGL,Excl. ISP,1242,1144,472,118
2022-05-16,LPG,Excl. ISP,1083,1495,224,116
2022-05-17,LPG,Excl. ISP,957,1154,371,116
2022-05-18,NGL,Excl. ISP,1450,1468,506,94
2022-05-19,LPG,Excl. ISP,1190,1170,281,145
2022-05-20,NGL,Excl. ISP,1067,1070,501,117
2022-05-21,LPG,Excl. ISP,1058,1388,435,139
2022-05-22,NGL,Incl. ISP,1446,1269,223,113
2022-05-23,LPG,Incl. ISP,1055,902,387,109
2022-05-24,NGL,Excl. ISP,993,1209,437,142
2022-05-25,LPG,Excl. ISP,1003,1254,462,127
2022-05-26,LPG,Excl. ISP,1188,1474,475,130
2022-05-27,NGL,Excl. ISP,1064,1096,339,111
2022-05-28,LPG,Incl. ISP,1185,1392,507,117
2022-05-29,NGL,Incl. ISP,1260,928,407,128
2022-05-30,LPG,Excl. ISP,928,959,361,114
2022-05-31,LPG,Excl. ISP,1472,1036,139,116
2022-06-01,NGL,Excl. ISP,1228,1245,492,121
2022-06-02,NGL,Incl. ISP,1453,976,299,123
2022-06-03,NGL,Incl. ISP,1314,1446,138,126
2022-06-04,NGL,Incl. ISP,1433,1007,305,136
2022-06-05,NGL,Incl. ISP,1185,1393,221,97
2022-06-06,LPG,Excl. ISP,1130,1415,361,119
2022-06-07,LPG,Incl. ISP,1278,1185,320,117
2022-06-08,LPG,Excl. ISP,1406,1043,330,143
2022-06-09,LPG,Excl. ISP,1140,1036,356,120
2022-06-10,LPG,Excl. ISP,1116,1449,475,113
2022-06-11,LPG,Incl. ISP,1415,1433,429,147
2022-06-12,LPG,Incl. ISP,934,1187,518,136
2022-06-13,LPG,Incl. ISP,1231,1476,340,137
2022-06-14,NGL,Excl. ISP,1005,1137,458,137
2022-06-15,LPG,Excl. ISP,1024,1453,471,133
2022-06-16,NGL,Excl. ISP,1116,1253,225,112
2022-06-17,LPG,Incl. ISP,1442,1286,521,146
2022-06-18,LPG,Excl. ISP,1131,1262,181,101
2022-06-19,NGL,Excl. ISP,907,1315,373,137
2022-06-20,NGL,Incl. ISP,987,920,333,135
2022-06-21,NGL,Incl. ISP,1000,1058,189,117
2022-06-22,LPG,Excl. ISP,1050,1438,188,135
2022-06-23,LPG,Incl. ISP,1389,1161,534,111
2022-06-24,NGL,Incl. ISP,1176,1162,449,138
2022-06-25,LPG,Excl. ISP,1471,1404,479,115
2022-06-26,LPG,Excl. ISP,1343,1015,379,119
2022-06-27,LPG,Excl. ISP,1168,1354,452,100
2022-06-28,LPG,Excl. ISP,1412,1168,194,97
2022-06-29,LPG,Incl. ISP,1334,929,486,115
2022-06-30,NGL,Excl. ISP,1365,1279,128,135
2022-07-01,LPG,Excl. ISP,1325,1033,210,150
2022-07-02,NGL,Excl. ISP,1397,1055,394,129
2022-07-03,LPG,Incl. ISP,1321,1461,172,137
2022-07-04,NGL,Incl. ISP,1117,937,105,114
2022-07-05,NGL,Excl. ISP,1224,957,451,95
2022-07-06,LPG,Excl. ISP,932,1344,370,134
2022-07-07,LPG,Incl. ISP,1217,920,131,102
2022-07-08,LPG,Excl. ISP,1111,1342,370,107
2022-07-09,LPG,Excl. ISP,1233,1191,522,99
2022-07-10,NGL,Excl. ISP,1060,912,489,122
2022-07-11,LPG,Excl. ISP,1305,1253,222,150
2022-07-12,LPG,Excl. ISP,1281,1421,534,128
2022-07-13,LPG,Excl. ISP,1302,901,537,114
2022-07-14,NGL,Incl. ISP,1495,1195,437,143
2022-07-15,NGL,Incl. ISP,1326,909,470,116
2022-07-16,LPG,Excl. ISP,966,934,132,98
2022-07-17,LPG,Incl. ISP,1141,1357,501,90
2022-07-18,NGL,Excl. ISP,1255,1044,262,143
2022-07-19,LPG,Excl. ISP,1196,1253,191,145
2022-07-20,NGL,Incl. ISP,1337,1478,392,102
2022-07-21,LPG,Excl. ISP,1335,1073,387,93
2022-07-22,LPG,Excl. ISP,1313,1214,186,100
2022-07-23,LPG,Incl. ISP,1187,1278,264,138
2022-07-24,LPG,Excl. ISP,1140,1412,436,103
2022-07-25,LPG,Excl. ISP,1210,1007,103,95
2022-07-26,NGL,Excl. ISP,932,1061,493,137
2022-07-27,LPG,Incl. ISP,1173,1413,380,109
2022-07-28,NGL,Incl. ISP,1110,1074,206,107
2022-07-29,NGL,Excl. ISP,1134,1211,436,107
2022-07-30,NGL,Excl. ISP,1307,1336,501,146
2022-07-31,LPG,Incl. ISP,1048,1054,436,149
2022-08-01,LPG,Excl. ISP,1361,1106,174,108
2022-08-02,LPG,Incl. ISP,1043,1064,421,98
2022-08-03,LPG,Excl. ISP,988,1453,428,142
2022-08-04,NGL,Incl. ISP,1351,1405,244,145
2022-08-05,NGL,Incl. ISP,948,1162,199,141
2022-08-06,LPG,Incl. ISP,1111,1367,533,141
2022-08-07,NGL,Incl. ISP,1013,909,250,121
2022-08-08,LPG,Incl. ISP,1359,1265,214,122
2022-08-09,LPG,Incl. ISP,1345,1197,228,106
2022-08-10,LPG,Excl. ISP,1400,930,513,105
2022-08-11,NGL,Excl. ISP,1232,1427,171,130
2022-08-12,NGL,Excl. ISP,1174,1059,437,139
2022-08-13,LPG,Excl. ISP,998,1387,356,91
2022-08-14,NGL,Excl. ISP,1278,1089,522,109
2022-08-15,NGL,Incl. ISP,1222,1085,276,95
2022-08-16,LPG,Incl. ISP,1149,1329,395,103
2022-08-17,NGL,Incl. ISP,1169,1010,499,114
2022-08-18,NGL,Incl. ISP,1078,1220,453,114
2022-08-19,LPG,Excl. ISP,1277,1187,486,132
2022-08-20,LPG,Excl. ISP,1143,1422,440,134
2022-08-21,LPG,Incl. ISP,1137,1174,480,113
2022-08-22,NGL,Incl. ISP,1044,1445,134,103
2022-08-23,LPG,Excl. ISP,988,1315,224,125
2022-08-24,NGL,Excl. ISP,983,1487,534,126
2022-08-25,NGL,Incl. ISP,992,1081,210,136
2022-08-26,LPG,Excl. ISP,1082,1325,495,98
2022-08-27,LPG,Excl. ISP,1043,940,309,93
2022-08-28,LPG,Excl. ISP,1231,921,525,120
2022-08-29,NGL,Excl. ISP,1223,1291,261,116
2022-08-30,NGL,Excl. ISP,1274,1426,404,133
2022-08-31,NGL,Excl. ISP,1422,1292,333,147
2022-09-01,LPG,Incl. ISP,1000,1161,430,138
2022-09-02,NGL,Incl. ISP,1194,1209,121,101
2022-09-03,NGL,Excl. ISP,915,1138,453,119
2022-09-04,NGL,Incl. ISP,1207,1060,341,150
2022-09-05,LPG,Incl. ISP,1352,965,473,138
2022-09-06,NGL,Incl. ISP,1173,1434,192,116
2022-09-07,LPG,Incl. ISP,1031,1085,247,117
2022-09-08,NGL,Excl. ISP,933,1456,420,116
2022-09-09,LPG,Incl. ISP,1235,1425,296,131
2022-09-10,NGL,Excl. ISP,1026,1002,333,138
2022-09-11,NGL,Excl. ISP,1285,1452,453,130
2022-09-12,LPG,Excl. ISP,1334,1296,306,129
2022-09-13,LPG,Excl. ISP,1016,1011,385,111
2022-09-14,LPG,Incl. ISP,1243,1204,545,101
2022-09-15,NGL,Incl. ISP,976,951,280,119
2022-09-16,NGL,Incl. ISP,956,1373,252,131
2022-09-17,NGL,Incl. ISP,1172,1035,497,150
2022-09-18,NGL,Excl. ISP,1012,1076,447,120
2022-09-19,LPG,Incl. ISP,1132,1469,291,118
2022-09-20,LPG,Incl. ISP,1190,1177,343,146
2022-09-21,LPG,Excl. ISP,1280,1275,185,139
2022-09-22,LPG,Excl. ISP,959,1290,282,130
2022-09-23,NGL,Excl. ISP,1321,1349,408,94
2022-09-24,NGL,Excl. ISP,1317,1450,484,108
2022-09-25,LPG,Excl. ISP,1062,1464,286,126
2022-09-26,NGL,Excl. ISP,1429,1448,210,131
2022-09-27,NGL,Incl. ISP,1168,964,228,137
2022-09-28,NGL,Excl. ISP,1103,1405,427,124
2022-09-29,NGL,Excl. ISP,1468,1454,253,146
2022-09-30,NGL,Incl. ISP,1110,1272,293,140
2022-10-01,LPG,Incl. ISP,1240,1199,302,124
2022-10-02,NGL,Incl. ISP,1255,1479,389,110
2022-10-03,NGL,Incl. ISP,1372,1434,472,124
2022-10-04,NGL,Excl. ISP,1078,1378,168,91
2022-10-05,LPG,Incl. ISP,951,1194,281,140
2022-10-06,LPG,Excl. ISP,1090,1198,147,124
2022-10-07,NGL,Excl. ISP,1383,1472,478,137
2022-10-08,LPG,Excl. ISP,1416,909,278,141
2022-10-09,NGL,Incl. ISP,1370,1339,191,105
2022-10-10,NGL,Incl. ISP,1110,1115,471,91
2022-10-11,NGL,Excl. ISP,1176,1431,380,130
2022-10-12,LPG,Incl. ISP,1473,1209,224,143
2022-10-13,NGL,Excl. ISP,1475,1126,216,138
2022-10-14,LPG,Incl. ISP,1107,1350,354,106
2022-10-15,LPG,Excl. ISP,1478,1343,113,134
2022-10-16,NGL,Incl. ISP,921,1181,232,116
2022-10-17,NGL,Incl. ISP,924,1024,215,147
2022-10-18,NGL,Excl. ISP,1379,1099,212,106
2022-10-19,LPG,Incl. ISP,1159,1429,322,117
2022-10-20,LPG,Excl. ISP,1203,966,199,90
2022-10-21,NGL,Incl. ISP,1366,1383,509,143
2022-10-22,LPG,Incl. ISP,1047,942,473,130
2022-10-23,NGL,Incl. ISP,1109,1360,465,136
2022-10-24,NGL,Incl. ISP,983,920,215,116
2022-10-25,LPG,Excl. ISP,1008,1080,309,139
2022-10-26,LPG,Excl. ISP,983,1096,509,100
2022-10-27,NGL,Incl. ISP,981,1178,261,124
2022-10-28,LPG,Excl. ISP,1238,1490,285,121
2022-10-29,LPG,Incl. ISP,1352,1146,282,112
2022-10-30,LPG,Incl. ISP,1364,1305,238,96
2022-10-31,LPG,Incl. ISP,936,1067,335,145
2022-11-01,NGL,Excl. ISP,1335,956,303,114
2022-11-02,NGL,Incl. ISP,1318,1465,362,107
2022-11-03,LPG,Incl. ISP,982,1114,308,104
2022-11-04,NGL,Incl. ISP,1025,926,292,94
2022-11-05,LPG,Excl. ISP,1156,1469,178,114
2022-11-06,LPG,Excl. ISP,1204,1063,327,121
2022-11-07,NGL,Excl. ISP,1086,979,541,123
2022-11-08,LPG,Incl. ISP,1339,944,192,120
2022-11-09,LPG,Excl. ISP,1263,1079,193,93
2022-11-10,NGL,Excl. ISP,1416,1032,468,106
2022-11-11,LPG,Excl. ISP,1167,972,112,144
2022-11-12,LPG,Incl. ISP,1379,1179,357,145
2022-11-13,LPG,Excl. ISP,1463,1172,508,140
2022-11-14,LPG,Incl. ISP,1196,1291,199,141
2022-11-15,NGL,Incl. ISP,923,1321,290,134
2022-11-16,NGL,Excl. ISP,1185,1317,497,143
2022-11-17,NGL,Incl. ISP,926,1021,432,150
2022-11-18,LPG,Excl. ISP,1161,1418,152,125
2022-11-19,LPG,Excl. ISP,1105,1074,237,143
2022-11-20,LPG,Excl. ISP,912,1227,192,124
2022-11-21,LPG,Excl. ISP,1093,1375,422,111
2022-11-22,NGL,Incl. ISP,1445,1120,418,100
2022-11-23,NGL,Excl. ISP,968,1028,257,117
2022-11-24,LPG,Incl. ISP,1052,1144,177,100
2022-11-25,LPG,Incl. ISP,1188,1361,422,98
2022-11-26,NGL,Excl. ISP,1359,1105,393,141
2022-11-27,LPG,Incl. ISP,1020,1126,415,100
2022-11-28,NGL,Incl. ISP,956,1126,115,115
2022-11-29,LPG,Excl. ISP,1417,1366,331,146
2022-11-30,NGL,Incl. ISP,1302,1323,202,130
2022-12-01,NGL,Incl. ISP,1094,1066,308,117
2022-12-02,LPG,Incl. ISP,926,1293,416,134
2022-12-03,LPG,Incl. ISP,1165,1321,210,116
2022-12-04,LPG,Excl. ISP,1238,1477,423,144
2022-12-05,LPG,Incl. ISP,1018,977,234,142
2022-12-06,LPG,Incl. ISP,1216,1134,189,95
2022-12-07,NGL,Incl. ISP,1257,1213,198,128
2022-12-08,NGL,Incl. ISP,1446,1430,134,142
2022-12-09,NGL,Excl. ISP,1029,1034,273,97
2022-12-10,NGL,Incl. ISP,1366,1231,163,90
2022-12-11,LPG,Excl. ISP,971,1218,321,147
2022-12-12,LPG,Excl. ISP,1224,1238,246,142
2022-12-13,LPG,Incl. ISP,1057,1441,150,100
2022-12-14,LPG,Incl. ISP,1148,1270,414,102
2022-12-15,LPG,Excl. ISP,1101,1233,409,148
2022-12-16,NGL,Incl. ISP,1194,1046,308,146
2022-12-17,LPG,Incl. ISP,1134,1384,218,94
2022-12-18,LPG,Excl. ISP,1394,1382,296,118
2022-12-19,NGL,Incl. ISP,1023,1185,177,114
2022-12-20,NGL,Incl. ISP,1437,1151,425,125
2022-12-21,NGL,Incl. ISP,1158,1225,188,107
2022-12-22,LPG,Incl. ISP,1355,1022,540,109
2022-12-23,LPG,Incl. ISP,924,1048,356,124
2022-12-24,NGL,Incl. ISP,1141,934,287,116
2022-12-25,NGL,Excl. ISP,934,1287,504,133
2022-12-26,NGL,Excl. ISP,992,1118,485,94
2022-12-27,NGL,Excl. ISP,1274,1319,119,139
2022-12-28,NGL,Incl. ISP,1464,1462,368,129
2022-12-29,NGL,Excl. ISP,1325,1497,144,118
2022-12-30,NGL,Excl. ISP,1044,925,420,141
2022-12-31,LPG,Excl. ISP,1188,1286,513,138
2023-01-01,NGL,Excl. ISP,1429,1436,498,118
2023-01-02,LPG,Incl. ISP,1250,995,501,93
2023-01-03,LPG,Incl. ISP,1421,1467,366,129
2023-01-04,LPG,Excl. ISP,1008,1368,426,115
2023-01-05,NGL,Excl. ISP,1261,1128,494,100
2023-01-06,NGL,Excl. ISP,1433,1179,426,145
2023-01-07,NGL,Excl. ISP,996,1195,263,135
2023-01-08,NGL,Incl. ISP,1183,912,314,96
2023-01-09,NGL,Excl. ISP,1104,947,472,115
2023-01-10,LPG,Incl. ISP,1470,1276,364,136
2023-01-11,LPG,Incl. ISP,933,1009,386,108
2023-01-12,NGL,Excl. ISP,1457,1160,537,94
2023-01-13,NGL,Incl. ISP,1283,1056,271,134
2023-01-14,NGL,Incl. ISP,969,1093,249,150
2023-01-15,LPG,Incl. ISP,1205,1304,444,148
2023-01-16,LPG,Excl. ISP,1096,1275,469,121
2023-01-17,LPG,Incl. ISP,1237,910,546,106
2023-01-18,LPG,Incl. ISP,1443,981,337,113
2023-01-19,NGL,Excl. ISP,1188,1419,386,133
2023-01-20,LPG,Excl. ISP,1040,1003,348,144
2023-01-21,LPG,Excl. ISP,1387,936,362,112
2023-01-22,LPG,Excl. ISP,1160,1114,192,112
2023-01-23,NGL,Incl. ISP,1394,926,117,121
2023-01-24,LPG,Excl. ISP,903,969,103,143
2023-01-25,NGL,Excl. ISP,1379,1042,140,135
2023-01-26,NGL,Excl. ISP,1485,1457,286,147
2023-01-27,NGL,Excl. ISP,1006,940,118,101
2023-01-28,NGL,Incl. ISP,1413,1021,221,112
2023-01-29,NGL,Excl. ISP,1475,1274,191,91
2023-01-30,LPG,Incl. ISP,1038,1327,391,138
2023-01-31,LPG,Excl. ISP,1405,1412,374,110
2023-02-01,LPG,Excl. ISP,1326,1245,221,135
2023-02-02,NGL,Excl. ISP,1168,1065,436,133
2023-02-03,LPG,Excl. ISP,1371,1079,438,97
2023-02-04,LPG,Excl. ISP,1070,1088,301,97
2023-02-05,NGL,Incl. ISP,968,1360,413,96
2023-02-06,NGL,Incl. ISP,1029,945,390,130
2023-02-07,LPG,Incl. ISP,917,1496,519,131
2023-02-08,NGL,Excl. ISP,909,1330,228,143
2023-02-09,LPG,Incl. ISP,1017,1187,374,113
2023-02-10,NGL,Excl. ISP,1240,1108,380,94
2023-02-11,LPG,Excl. ISP,1201,1408,402,115
2023-02-12,LPG,Incl. ISP,1240,1057,521,107
2023-02-13,NGL,Incl. ISP,1294,1223,491,144
2023-02-14,LPG,Excl. ISP,1113,1072,413,149
2023-02-15,LPG,Excl. ISP,1183,979,511,92
2023-02-16,NGL,Incl. ISP,919,1428,356,127
2023-02-17,NGL,Excl. ISP,1329,939,415,147
2023-02-18,NGL,Incl. ISP,908,1046,111,146
2023-02-19,NGL,Excl. ISP,1377,1281,464,122
2023-02-20,NGL,Excl. ISP,997,1355,309,95
2023-02-21,LPG,Incl. ISP,902,1096,430,110
2023-02-22,LPG,Excl. ISP,1137,1374,472,117
2023-02-23,NGL,Excl. ISP,1234,1082,384,128
2023-02-24,LPG,Incl. ISP,1078,1019,483,150
2023-02-25,LPG,Excl. ISP,1256,1308,106,143
2023-02-26,LPG,Excl. ISP,1330,1186,215,132
2023-02-27,NGL,Excl. ISP,1109,1166,224,144
2023-02-28,NGL,Excl. ISP,1348,1116,408,108
2023-03-01,LPG,Incl. ISP,1410,973,408,108
2023-03-02,LPG,Incl. ISP,1026,1452,272,123
2023-03-03,NGL,Excl. ISP,970,1087,283,106
2023-03-04,NGL,Excl. ISP,1221,1265,262,135
2023-03-05,LPG,Incl. ISP,956,937,322,91
2023-03-06,LPG,Incl. ISP,1311,1336,351,111
2023-03-07,LPG,Excl. ISP,1490,975,322,92
2023-03-08,NGL,Incl. ISP,1298,1068,144,96
2023-03-09,LPG,Incl. ISP,967,1003,523,132
2023-03-10,NGL,Incl. ISP,1490,1446,539,137
2023-03-11,NGL,Excl. ISP,1455,1484,529,102
2023-03-12,NGL,Incl. ISP,1020,1307,173,107
2023-03-13,LPG,Excl. ISP,1101,1324,189,106
2023-03-14,NGL,Excl. ISP,1388,1475,522,92
2023-03-15,NGL,Incl. ISP,1306,1350,138,90
2023-03-16,LPG,Incl. ISP,1068,1418,153,105
2023-03-17,LPG,Excl. ISP,1185,1031,439,139
2023-03-18,NGL,Incl. ISP,1248,1429,484,114
2023-03-19,LPG,Incl. ISP,1266,1254,534,136
2023-03-20,LPG,Excl. ISP,1195,1149,266,120
2023-03-21,NGL,Excl. ISP,1059,1411,108,146
2023-03-22,LPG,Excl. ISP,1043,1305,389,105
2023-03-23,LPG,Incl. ISP,1395,972,346,139
2023-03-24,NGL,Excl. ISP,1355,923,470,128
2023-03-25,NGL,Incl. ISP,1290,1371,298,117
2023-03-26,LPG,Incl. ISP,1174,1365,177,102
2023-03-27,LPG,Excl. ISP,1337,1121,394,106
2023-03-28,NGL,Incl. ISP,1167,1259,277,127
2023-03-29,LPG,Incl. ISP,1353,912,333,116
2023-03-30,LPG,Incl. ISP,1060,1261,545,93
2023-03-31,LPG,Excl. ISP,1267,1474,276,141
2023-04-01,LPG,Excl. ISP,1486,1203,269,100
2023-04-02,LPG,Excl. ISP,1212,1471,363,122
2023-04-03,NGL,Excl. ISP,1493,1309,334,95
2023-04-04,NGL,Excl. ISP,1427,1261,480,150
2023-04-05,NGL,Excl. ISP,1163,1042,312,112
2023-04-06,NGL,Excl. ISP,910,1338,342,147
2023-04-07,NGL,Excl. ISP,1204,1375,245,105
2023-04-08,LPG,Incl. ISP,1025,1028,312,125
2023-04-09,NGL,Incl. ISP,918,1361,474,124
2023-04-10,NGL,Incl. ISP,1219,1100,503,129
2023-04-11,LPG,Excl. ISP,1112,1130,342,147
2023-04-12,LPG,Excl. ISP,1221,1184,463,101
2023-04-13,NGL,Incl. ISP,1075,1129,158,135
2023-04-14,NGL,Excl. ISP,1255,1082,115,91
2023-04-15,NGL,Incl. ISP,1478,1189,547,130
2023-04-16,LPG,Incl. ISP,1139,1445,119,143
2023-04-17,NGL,Excl. ISP,1417,1280,405,95
2023-04-18,LPG,Incl. ISP,1213,1389,115,105
2023-04-19,LPG,Excl. ISP,1084,1412,315,130
2023-04-20,LPG,Incl. ISP,1341,1402,411,133
2023-04-21,NGL,Excl. ISP,1341,1144,103,131
2023-04-22,NGL,Excl. ISP,1124,1234,336,114
2023-04-23,LPG,Excl. ISP,1049,1372,490,145
2023-04-24,LPG,Incl. ISP,1320,930,270,110
2023-04-25,NGL,Excl. ISP,1414,942,466,121
2023-04-26,NGL,Excl. ISP,1137,992,117,124
2023-04-27,LPG,Excl. ISP,1319,1215,428,140
2023-04-28,NGL,Excl. ISP,1162,1162,351,91
2023-04-29,NGL,Excl. ISP,912,1110,360,102
2023-04-30,NGL,Incl. ISP,1207,1438,544,122
2023-05-01,LPG,Incl. ISP,1012,912,312,122
2023-05-02,LPG,Excl. ISP,1151,1195,102,98
2023-05-03,LPG,Excl. ISP,1248,1263,352,114
2023-05-04,LPG,Incl. ISP,966,1179,503,114
2023-05-05,NGL,Incl. ISP,1232,1085,457,99
2023-05-06,NGL,Incl. ISP,1388,1354,263,118
2023-05-07,NGL,Incl. ISP,1029,1244,245,144
2023-05-08,NGL,Incl. ISP,1400,1242,436,133
2023-05-09,LPG,Excl. ISP,967,1028,309,143
2023-05-10,LPG,Excl. ISP,1223,1108,311,139
2023-05-11,LPG,Incl. ISP,1319,1129,532,148
2023-05-12,NGL,Excl. ISP,1169,1130,486,108
2023-05-13,LPG,Incl. ISP,1071,1393,139,149
2023-05-14,LPG,Incl. ISP,1364,945,446,137
2023-05-15,LPG,Excl. ISP,1064,1321,359,132
2023-05-16,NGL,Incl. ISP,991,1138,265,146
2023-05-17,NGL,Excl. ISP,1375,1197,157,143
2023-05-18,LPG,Excl. ISP,1226,1350,206,137
2023-05-19,NGL,Incl. ISP,1389,1036,237,99
2023-05-20,NGL,Incl. ISP,1187,914,110,101
2023-05-21,NGL,Incl. ISP,1417,1161,346,125
2023-05-22,LPG,Excl. ISP,1262,1355,157,143
2023-05-23,NGL,Incl. ISP,1435,1255,218,95
2023-05-24,NGL,Excl. ISP,1304,1069,255,91
2023-05-25,NGL,Incl. ISP,1355,956,346,125
2023-05-26,NGL,Excl. ISP,1056,1025,343,142
2023-05-27,LPG,Incl. ISP,1498,1221,509,137
2023-05-28,NGL,Incl. ISP,1200,1339,212,145
2023-05-29,LPG,Incl. ISP,1353,1039,293,135
2023-05-30,LPG,Incl. ISP,1301,1451,438,141
2023-05-31,LPG,Excl. ISP,1276,1284,464,128
2023-06-01,NGL,Excl. ISP,1444,1356,402,110
2023-06-02,NGL,Incl. ISP,1283,1029,290,148
2023-06-03,LPG,Incl. ISP,972,922,147,149
2023-06-04,LPG,Excl. ISP,1224,1028,245,120
2023-06-05,NGL,Excl. ISP,1390,1222,398,120
2023-06-06,NGL,Incl. ISP,1234,1033,429,131
2023-06-07,LPG,Incl. ISP,1346,1269,360,118
2023-06-08,NGL,Excl. ISP,901,1424,433,119
2023-06-09,LPG,Incl. ISP,1078,1297,520,121
2023-06-10,NGL,Excl. ISP,1027,1107,325,109
2023-06-11,NGL,Excl. ISP,1239,1387,276,136
2023-06-12,NGL,Excl. ISP,1052,1436,104,133
2023-06-13,LPG,Excl. ISP,1173,948,317,149
2023-06-14,LPG,Excl. ISP,1188,1239,119,94
2023-06-15,NGL,Excl. ISP,966,1176,483,106
2023-06-16,NGL,Excl. ISP,1482,1483,318,150
2023-06-17,NGL,Excl. ISP,1026,1255,321,101
2023-06-18,NGL,Incl. ISP,1267,1418,286,143
2023-06-19,NGL,Excl. ISP,1142,1125,115,148
2023-06-20,LPG,Incl. ISP,1454,1247,298,91
2023-06-21,LPG,Incl. ISP,967,1013,432,123
2023-06-22,NGL,Incl. ISP,986,1104,513,111
2023-06-23,NGL,Excl. ISP,1062,982,395,135
2023-06-24,NGL,Excl. ISP,1258,1407,130,97
2023-06-25,NGL,Excl. ISP,1272,1500,483,113
2023-06-26,LPG,Incl. ISP,1270,1128,132,138
2023-06-27,LPG,Excl. ISP,1020,1141,236,99
2023-06-28,LPG,Excl. ISP,1487,1046,336,124
2023-06-29,NGL,Excl. ISP,1013,1075,349,114
2023-06-30,LPG,Excl. ISP,1411,1363,196,140
2023-07-01,NGL,Incl. ISP,975,1203,206,149
2023-07-02,LPG,Excl. ISP,1130,1195,476,109
2023-07-03,NGL,Incl. ISP,1089,1059,533,96
2023-07-04,LPG,Excl. ISP,1427,1432,249,130
2023-07-05,LPG,Incl. ISP,1180,1317,151,131
2023-07-06,LPG,Excl. ISP,1401,1230,442,136
2023-07-07,LPG,Excl. ISP,1232,1279,220,105
2023-07-08,LPG,Excl. ISP,1472,1349,501,149
2023-07-09,LPG,Incl. ISP,1039,1232,297,132
2023-07-10,LPG,Incl. ISP,1369,1185,117,98
2023-07-11,LPG,Incl. ISP,1145,961,270,123
2023-07-12,LPG,Excl. ISP,1449,923,146,149
2023-07-13,LPG,Incl. ISP,1057,1413,108,95
2023-07-14,LPG,Excl. ISP,1418,1397,166,118
2023-07-15,NGL,Incl. ISP,1050,1453,399,92
2023-07-16,LPG,Incl. ISP,1023,1345,282,141
2023-07-17,LPG,Excl. ISP,1171,1279,332,150
2023-07-18,LPG,Incl. ISP,1393,966,100,100
2023-07-19,NGL,Incl. ISP,1074,1203,222,123
2023-07-20,NGL,Incl. ISP,1263,955,378,97
2023-07-21,LPG,Incl. ISP,1328,1055,382,126
2023-07-22,LPG,Excl. ISP,951,1349,439,117
2023-07-23,NGL,Excl. ISP,1151,1169,299,116
2023-07-24,LPG,Excl. ISP,1293,1000,506,118
2023-07-25,NGL,Excl. ISP,1062,1187,185,97
2023-07-26,NGL,Excl. ISP,1232,980,339,118
2023-07-27,LPG,Incl. ISP,1034,977,329,130
2023-07-28,NGL,Incl. ISP,1146,963,424,141
2023-07-29,NGL,Excl. ISP,1117,1114,479,144
2023-07-30,NGL,Incl. ISP,1465,1173,204,92
2023-07-31,LPG,Incl. ISP,1477,1195,280,97
2023-08-01,LPG,Excl. ISP,1001,1401,441,103
2023-08-02,NGL,Excl. ISP,973,1128,460,149
2023-08-03,LPG,Incl. ISP,1359,1053,236,137
2023-08-04,NGL,Excl. ISP,1106,1345,165,130
2023-08-05,NGL,Excl. ISP,917,1050,115,150
2023-08-06,NGL,Excl. ISP,1030,1142,212,130
2023-08-07,NGL,Incl. ISP,1264,1082,101,103
2023-08-08,LPG,Incl. ISP,1403,1222,443,101
2023-08-09,NGL,Excl. ISP,1475,929,210,132
2023-08-10,NGL,Incl. ISP,1496,1106,481,149
2023-08-11,LPG,Excl. ISP,1255,1247,141,113
2023-08-12,LPG,Incl. ISP,1289,1244,314,125
2023-08-13,NGL,Excl. ISP,1280,1325,292,121
2023-08-14,NGL,Incl. ISP,936,1321,114,101
2023-08-15,NGL,Incl. ISP,1360,1377,252,125
2023-08-16,LPG,Excl. ISP,1119,1248,130,123
2023-08-17,NGL,Incl. ISP,1283,1139,399,91
2023-08-18,LPG,Incl. ISP,1168,1470,506,150
2023-08-19,LPG,Incl. ISP,922,1239,199,118
2023-08-20,NGL,Excl. ISP,1298,1106,221,107
2023-08-21,NGL,Excl. ISP,1337,1449,245,107
2023-08-22,LPG,Incl. ISP,1477,1185,230,141
2023-08-23,LPG,Incl. ISP,1008,999,143,104
2023-08-24,LPG,Excl. ISP,1444,1385,447,107
2023-08-25,NGL,Incl. ISP,1361,1210,228,147
2023-08-26,LPG,Incl. ISP,938,1334,210,106
2023-08-27,NGL,Excl. ISP,1427,1176,280,106
2023-08-28,NGL,Incl. ISP,1341,1401,227,116
2023-08-29,LPG,Incl. ISP,1406,1218,437,127
